日期,節氣,節氣時分
2027-12-05,小雪,-
2027-12-06,小雪,-
2027-12-07,大雪,16:38
2027-12-08,大雪,-
2027-12-09,大雪,-
2027-12-10,大雪,-
2027-12-11,大雪,-
2027-12-12,大雪,-
2027-12-13,大雪,-
2027-12-14,大雪,-
2027-12-15,大雪,-
2027-12-16,大雪,-
2027-12-17,大雪,-
2027-12-18,大雪,-
2027-12-19,大雪,-
2027-12-20,大雪,-
2027-12-21,大雪,-
2027-12-22,冬至,10:42
2027-12-23,冬至,-
2027-12-24,冬至,-
2027-12-25,冬至,-
2027-12-26,冬至,-
2027-12-27,冬至,-
2027-12-28,冬至,-
2027-12-29,冬至,-
2027-12-30,冬至,-
2027-12-31,冬至,-
